"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"423","RT @DaleEArnold: Deal with it America. #SuperBowl https://t.co/47ke2se8Ft",FALSE,0,NA,2017-02-19 00:29:24,FALSE,NA,"833111206479151104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stovuamriran191",186,TRUE,FALSE,NA,NA
"424","RT @McCourtyTwins: Get @PaniniAmerica's special #SuperBowl LI @Patriots team set, only from #PaniniInstant, at https://t.co/WiuyKKsdkF (D-M…",FALSE,0,NA,2017-02-19 00:29:21,FALSE,NA,"833111191916597250",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RayRa112",63,TRUE,FALSE,NA,NA
"425","RT @RickyVerezXXX: <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> @maleUrbate do U or any of UR followers know if the #Football field is that way<U+27A1>?! <ed><U+00A0><U+00BD><ed><U+00B8><U+0088><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>#SuperBowl #SB51 #FOLLOW @RickyVe…",FALSE,0,NA,2017-02-19 00:29:17,FALSE,NA,"833111178146516992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crazyguyna",121,TRUE,FALSE,NA,NA
"426","RT @_codythegreat: That time @ladygaga tried to collect the bounty on DX... @TripleH @ShawnMichaels #SuperBowl #HalfTimeShow https://t.co/k…",FALSE,0,NA,2017-02-19 00:28:47,FALSE,NA,"833111051776442368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tbb5vp47WNvri8a",256,TRUE,FALSE,NA,NA
"427","RT @HIGH_TIMES_Mag: Here’s Why You Should Be Discussing Medical Pot During the #SuperBowl.
https://t.co/EtaXMsLvvm https://t.co/4LAXRuYSOO",FALSE,0,NA,2017-02-19 00:28:40,FALSE,NA,"833111021623590912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LBz3uxccG9G4po1",14,TRUE,FALSE,NA,NA
"428","RT @ARTPOPGR: MY POOR WIG HAS EVAPORATED #SuperBowl #PepsiHalftime https://t.co/PhTogODafx",FALSE,0,NA,2017-02-19 00:28:27,FALSE,NA,"833110967428972544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SavedBarely",250,TRUE,FALSE,NA,NA
"429","RT @MJJLegion: Michael Jackson performing ‘Heal The World’ at the #SuperBowl  Halftime Show, 1993. We need this message now more than ever.…",FALSE,0,NA,2017-02-19 00:28:16,FALSE,NA,"833110918984761345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taylor44040685",1356,TRUE,FALSE,NA,NA
"430","RT @tastemade: About a million reasons to love @ladygaga right now. #SuperBowl #halftimeshow #pancakeart @drdancake https://t.co/YFb4Dy9FOe",FALSE,0,NA,2017-02-19 00:28:03,FALSE,NA,"833110867315216385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dadziechamorro",2994,TRUE,FALSE,NA,NA
"431","Neutrals are in! #bella #lipsense #makeup #kissproof #lipboss #superbowl https://t.co/FM0ZRxVutQ https://t.co/kOefOfDYco",FALSE,0,NA,2017-02-19 00:28:02,FALSE,NA,"833110861556416512",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Sarahslipsters",0,FALSE,FALSE,NA,NA
"432","RT @momentodivapop: Mais de 150 milhões: audiência do show da #LadyGaga no #SuperBowl. A performance mais vista da história! https://t.co/a…",FALSE,0,NA,2017-02-19 00:27:47,FALSE,NA,"833110796561424385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__4Rowdy",16,TRUE,FALSE,NA,NA
"433","RT @yosoyLugardo: #SuperBowl Mi novia le va a los #patriots por su ofensiva... Bla bla bla

Yo le voy a los #falcons por llevarle la contra…",FALSE,0,NA,2017-02-19 00:27:34,FALSE,NA,"833110743084068864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dreadstop",213,TRUE,FALSE,NA,NA
